threads,time,compiler
24,118.069,gcc
23,118.649,gcc
22,114.91,gcc
21,121.885,gcc
20,124.452,gcc
19,117.052,gcc
18,129.092,gcc
17,131.319,gcc
16,132.727,gcc
15,138.284,gcc
14,145.684,gcc
13,146.592,gcc
12,157.199,gcc
11,166.178,gcc
10,165.215,gcc
9,182.029,gcc
8,198.931,gcc
7,220.921,gcc
6,245.859,gcc
5,283.345,gcc
4,332.017,gcc
3,423.069,gcc
2,586.786,gcc
1,1147.93,gcc
24,56.2499,icpc
23,52.7109,icpc
22,55.5962,icpc
21,53.7264,icpc
20,55.0881,icpc
19,51.1346,icpc
18,51.0956,icpc
17,53.1723,icpc
16,51.7103,icpc
15,54.144,icpc
14,56.3437,icpc
13,56.9454,icpc
12,53.6096,icpc
11,50.7463,icpc
10,58.2655,icpc
9,57.0983,icpc
8,57.4383,icpc
7,53.5237,icpc
6,56.0171,icpc
5,37.6938,icpc
4,42.6823,icpc
3,50.1227,icpc
2,71.4224,icpc
1,107.858,icpc
